"persona","run_id","max_clicks","category","format","goal_code","goal","start_url","outcome","clicks","elapsed_ms","start_complete","start_matched_groups","first_click_accurate","matched_groups","total_groups","actionable","next_action_clear","disposition","evidence_url","evidence_title","evidence_excerpt","path"
"developer","developer-001","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/index.html","success","0","32","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/index.html","Config Workshop · Understand and test your configuration","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Helm first · AICR, Timoni, OCI and YAML examples See What Your Configuration Will Do See","http://127.0.0.1:8766/site/index.html"
"developer","developer-002","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/guides.html","success","0","9","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/guides.html","Guides · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Learn this by doing it Three guides, shortest first. Each one runs real commands against","http://127.0.0.1:8766/site/guides.html"
"developer","developer-003","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/ai.html","success","0","9","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/ai.html","AI with review and evidence · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Use Config Workshop with your AI agent Give Claude, Codex, or another coding agent one co","http://127.0.0.1:8766/site/ai.html"
"developer","developer-004","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/ask.html","success","0","9","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/ask.html","Check my config · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Is my configuration right? &ldquo;Here is the chart and values my AI produced. Compare th","http://127.0.0.1:8766/site/ask.html"
"developer","developer-005","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/promote.html","success","0","10","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/promote.html","Promote my config · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Can I promote this configuration? Compare what you run now with the exact configuration y","http://127.0.0.1:8766/site/promote.html"
"developer","developer-006","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/charts/index.html","success","0","35","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/charts/index.html","Component Catalog · Config Workshop","Component Catalog · Config Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs Conf","http://127.0.0.1:8766/site/charts/index.html"
"developer","developer-007","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/try.html","success","0","37","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/try.html","Try Redis · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Try a simple example: Redis Runs on your laptop Render one reviewed Redis configuration a","http://127.0.0.1:8766/site/try.html"
"developer","developer-008","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/testing.html","success","0","33","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/testing.html","Worked Examples · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Find a starting configuration Runs on your laptop Start with the job you need done. Choos","http://127.0.0.1:8766/site/testing.html"
"developer","developer-009","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/how-it-works.html","success","0","3","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/how-it-works.html","Choose How To Deploy It · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Choose how to deploy it Come here after you have inspected the Kubernetes objects. They m","http://127.0.0.1:8766/site/how-it-works.html"
"developer","developer-010","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/docs.html","success","0","2","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/docs.html","Docs · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Find instructions for the step you are doing Choose the question closest to your current","http://127.0.0.1:8766/site/docs.html"
"developer","developer-011","3","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8766/site/confighub.html","success","0","3","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/confighub.html","Use ConfigHub · Config Workshop","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Keep This Reviewed Configuration in ConfigHub Needs a ConfigHub account Save the exact Ku","http://127.0.0.1:8766/site/confighub.html"
"developer","developer-012","3","comprehension","mixed","D-C2","understand Catalog versus my own case","http://127.0.0.1:8766/site/index.html","success","0","2","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8766/site/index.html","Config Workshop · Understand and test your configuration","Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS AI agents Catalog Check my config Promote my config Deployment Docs ConfigHub Helm first · AICR, Timoni, OCI and YAML examples See What Your Configuration Will Do See","http://127.0.0.1:8766/site/index.html"
